"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","100nF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"C2","1nF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"D1","1N4148W","PCM_Diode_SMD_AKL:D_SOD-123","https://datasheet.octopart.com/1N4148W-HE3-18-Vishay-datasheet-17291302.pdf","1","","",""
"J1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"J2","JST_04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal","","1","","",""
"J3","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"Q1","SS8050","Package_TO_SOT_SMD:SOT-23","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8050.pdf","1","","",""
"R1,R2,R3,R5,R7","10K","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","5","","",""
"R4","1K","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R6","120R","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"U1","MAX3485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf","1","","",""
